 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        1951999 ┊     39.74% ┊ table[0]
           5024 ┊      0.10% ┊                                                                           ⤷ <serde_json::de::VariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::h4d8ec411b3f06af5
           4969 ┊      0.10% ┊                                                                               ⤷ <core::marker::PhantomData<T> as serde::de::DeserializeSeed>::deserialize::h8170a926829ec95a
           4914 ┊      0.10% ┊                                                                                   ⤷ serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::hda50925c74617993
           4829 ┊      0.10% ┊                                                                                       ⤷ <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_enum::h26d266287cc4f2a9
            917 ┊      0.02% ┊                                                                                           ⤷ core::result::Result<T,E>::map::h31278ae6fcee9dfc
            284 ┊      0.01% ┊                                                                                               ⤷ core::ops::function::FnOnce::call_once::hfb42ea2e266702b8
            119 ┊      0.00% ┊                                                                                                   ⤷ core::result::Result::Ok::h90a32978ff88d22b
            555 ┊      0.01% ┊                                                                                           ⤷ <serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::ResultVisitor<T,E> as serde::de::Visitor>::visit_enum::hbacc047416e6696f
            176 ┊      0.00% ┊                                                                                               ⤷ serde::de::VariantAccess::newtype_variant::h9910de90dc736183
            121 ┊      0.00% ┊                                                                                                   ⤷ <serde_json::de::UnitVariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::habea1794d2a7369d
            544 ┊      0.01% ┊                                                                                           ⤷ <serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::ResultVisitor<T,E> as serde::de::Visitor>::visit_enum::h9f6b0acd56da7407
            165 ┊      0.00% ┊                                                                                               ⤷ serde::de::VariantAccess::newtype_variant::hc70c997e51f0e284
            110 ┊      0.00% ┊                                                                                                   ⤷ <serde_json::de::VariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::h3ef1e00d9dfcffff
             55 ┊      0.00% ┊                                                                                                       ⤷ <core::marker::PhantomData<T> as serde::de::DeserializeSeed>::deserialize::hbfb52124711d0318
            464 ┊      0.01% ┊                                                                                           ⤷ core::result::Result<T,E>::map::h94e2db503fb3e10d
            113 ┊      0.00% ┊                                                                                               ⤷ core::ops::function::FnOnce::call_once::ha4fad0e17f7cae08
             51 ┊      0.00% ┊                                                                                                   ⤷ core::result::Result::Err::hd43ff43f1bf87392
            917 ┊      0.02% ┊                                                                   ⤷ core::result::Result<T,E>::map::h2e4fd6db2ca1b67b
            284 ┊      0.01% ┊                                                                       ⤷ core::ops::function::FnOnce::call_once::hc011b81a4f02bf0d
            119 ┊      0.00% ┊                                                                           ⤷ core::result::Result::Ok::h64cdf0029b9995fd
            555 ┊      0.01% ┊                                                                   ⤷ <serde::de::impls::<impl serde::de::Deserialize for core::result::Result<T,E>>::deserialize::ResultVisitor<T,E> as serde::de::Visitor>::visit_enum::ha74d43a97b4ca74a
            176 ┊      0.00% ┊                                                                       ⤷ serde::de::VariantAccess::newtype_variant::h18336b818f69bf7a
            121 ┊      0.00% ┊                                                                           ⤷ <serde_json::de::UnitVariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::hea0988d4642745c4
            464 ┊      0.01% ┊                                                                   ⤷ core::result::Result<T,E>::map::h6910a3913d935b4a
            113 ┊      0.00% ┊                                                                       ⤷ core::ops::function::FnOnce::call_once::h3e24446454eada4b
             51 ┊      0.00% ┊                                                                           ⤷ core::result::Result::Err::hce3e23e840a5e832
            172 ┊      0.00% ┊                                                                   ⤷ serde::de::VariantAccess::newtype_variant::ha0b85227544667ad
            117 ┊      0.00% ┊                                                                       ⤷ <serde_json::de::UnitVariantAccess<R> as serde::de::VariantAccess>::newtype_variant_seed::h97425ad08a2bb27c
           3559 ┊      0.07% ┊                                               ⤷ reactive_graph::computed::async_derived::arc_async_derived::ArcAsyncDerived<T>::new_with_initial::h92c9c5c945ef7902
            668 ┊      0.01% ┊                                                   ⤷ alloc::sync::Arc<T>::new::h72db6248168311d3
            639 ┊      0.01% ┊                                                   ⤷ alloc::sync::Arc<T,A>::downgrade::h4aa37faa75b5be2f
            428 ┊      0.01% ┊                                                   ⤷ std::sync::rwlock::RwLock<T>::new::h0352d520bf805a4f
            395 ┊      0.01% ┊                                                   ⤷ any_spawner::Executor::spawn::hf1329a2e999276be
           2994 ┊      0.06% ┊                                               ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new::h5d8f539b575618ae
           2898 ┊      0.06% ┊                                                   ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::hc827342099e22e19
           2698 ┊      0.05% ┊                                                       ⤷ alloc::sync::Arc<T>::new_cyclic::h51e25ad099c277c2
           2011 ┊      0.04% ┊                                                           ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::{{closure}}::hb0f4ea118b0f8a58
            502 ┊      0.01% ┊                                                               ⤷ <alloc::sync::Weak<T,A> as core::clone::Clone>::clone::h624634be6a5f7e72
            459 ┊      0.01% ┊                                                               ⤷ reactive_graph::computed::inner::MemoInner<T>::new::h0265a61474c721e3
            442 ┊      0.01% ┊                                                               ⤷ alloc::sync::Arc<T>::new::hb31aa22fd2b35dd7
            212 ┊      0.00% ┊                                                               ⤷ std::sync::rwlock::RwLock<T>::new::h6f5f1bfbf91655c1
            134 ┊      0.00% ┊                                                               ⤷ alloc::sync::Weak<T,A>::as_ptr::hbdf44349c796b439
           1009 ┊      0.02% ┊                                               ⤷ reactive_graph::traits::With::with::ha2e5c60945c7628c
            600 ┊      0.01% ┊                                                   ⤷ <T as reactive_graph::traits::With>::try_with::h77c03ba8d6b564df
            523 ┊      0.01% ┊                                                       ⤷ <T as reactive_graph::traits::WithUntracked>::try_with_untracked::h41935eecacceca85
            416 ┊      0.01% ┊                                                           ⤷ core::option::Option<T>::map::hb79c46a45a8f4310
            101 ┊      0.00% ┊                                                               ⤷ <T as reactive_graph::traits::WithUntracked>::try_with_untracked::{{closure}}::h861016a67474bf35
             29 ┊      0.00% ┊                                                                   ⤷ leptos_server::resource::ArcResource<T,Ser>::new_with_encoding::{{closure}}::hbd56ec8737be6270
            288 ┊      0.01% ┊                                                   ⤷ core::option::Option<T>::unwrap_or_else::h100806ce7b8981f8
            136 ┊      0.00% ┊                                                       ⤷ reactive_graph::traits::With::with::{{closure}}::h49252fdaf6578123
            312 ┊      0.01% ┊                                               ⤷ core::option::Option<T>::map::h5f521ce563350a3f
             87 ┊      0.00% ┊                                                   ⤷ leptos_server::resource::ArcResource<T,Ser>::new_with_encoding::{{closure}}::hded30af5050008ad
            158 ┊      0.00% ┊                                               ⤷ reactive_graph::computed::async_derived::arc_async_derived::ArcAsyncDerived<T>::ready::h0effa3c9db5d1155
            115 ┊      0.00% ┊                                               ⤷ <reactive_graph::computed::arc_memo::ArcMemo<T> as core::clone::Clone>::clone::h03fc05943d6e0637
            112 ┊      0.00% ┊                                               ⤷ <reactive_graph::computed::async_derived::arc_async_derived::ArcAsyncDerived<T> as reactive_graph::graph::subscriber::ToAnySubscriber>::to_any_subscriber::h2e627f848fd25172
           1667 ┊      0.03% ┊                                           ⤷ <T as core::convert::Into<U>>::into::h56b33f582ece6368
           1655 ┊      0.03% ┊                                               ⤷ <reactive_graph::computed::async_derived::async_derived::AsyncDerived<T> as core::convert::From<reactive_graph::computed::async_derived::arc_async_derived::ArcAsyncDerived<T>>>::from::h2c684dfe92e99523
           1549 ┊      0.03% ┊                                                   ⤷ reactive_graph::owner::arena::StoredValue<T>::new::hcf56e85d7062f14b
            776 ┊      0.02% ┊                                                       ⤷ std::thread::local::LocalKey<T>::with::h0aa23e591fff3cbb
            587 ┊      0.01% ┊                                                           ⤷ std::thread::local::LocalKey<T>::try_with::hbb2966d2a14baf89
            241 ┊      0.00% ┊                                                               ⤷ reactive_graph::owner::arena::StoredValue<T>::new::{{closure}}::hd8c8919da1d979da
            529 ┊      0.01% ┊                                                       ⤷ reactive_graph::owner::arena::Arena::with_mut::h1524764fd4c15725
            302 ┊      0.01% ┊                                                           ⤷ reactive_graph::owner::arena::StoredValue<T>::new::{{closure}}::hba4ec47a3c2c905c
           8700 ┊      0.18% ┊                                   ⤷ routing::hooks::use_params::hec197f8cef1ddd49
           4634 ┊      0.09% ┊                                       ⤷ reactive_graph::computed::memo::Memo<T>::new::h035082a9f03e300e
           3030 ┊      0.06% ┊                                           ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new::h326675c8988bf9e9
           2934 ┊      0.06% ┊                                               ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::hff4e4a4707b4ba88
           2734 ┊      0.06% ┊                                                   ⤷ alloc::sync::Arc<T>::new_cyclic::h4473e2324cc32f10
           2047 ┊      0.04% ┊                                                       ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::{{closure}}::h12a6c6f80c94e57a
            502 ┊      0.01% ┊                                                           ⤷ <alloc::sync::Weak<T,A> as core::clone::Clone>::clone::ha238461ed41cd7a9
            495 ┊      0.01% ┊                                                           ⤷ reactive_graph::computed::inner::MemoInner<T>::new::h41d836cfc07d7879
            442 ┊      0.01% ┊                                                           ⤷ alloc::sync::Arc<T>::new::h3b087feec91dca1b
            212 ┊      0.00% ┊                                                           ⤷ std::sync::rwlock::RwLock<T>::new::hae452bd5be4031b4
            134 ┊      0.00% ┊                                                           ⤷ alloc::sync::Weak<T,A>::as_ptr::h65f3e33fff09d2c8
           1476 ┊      0.03% ┊                                           ⤷ reactive_graph::owner::arena::StoredValue<T>::new::hd7a796024564b76e
            776 ┊      0.02% ┊                                               ⤷ std::thread::local::LocalKey<T>::with::h312b1961f6801ecc
            587 ┊      0.01% ┊                                                   ⤷ std::thread::local::LocalKey<T>::try_with::h510c1f06aa37a7d4
            241 ┊      0.00% ┊                                                       ⤷ reactive_graph::owner::arena::StoredValue<T>::new::{{closure}}::h653e0d184a7db3b9
            482 ┊      0.01% ┊                                               ⤷ reactive_graph::owner::arena::Arena::with_mut::hd68aef0eb27b5750
            250 ┊      0.01% ┊                                                   ⤷ reactive_graph::owner::arena::StoredValue<T>::new::{{closure}}::h445a88cf63b77614
           3908 ┊      0.08% ┊                                       ⤷ routing::hooks::use_params_raw::h148dd48014c87d06
           3662 ┊      0.07% ┊                                           ⤷ reactive_graph::owner::context::use_context::hb5222bb0d0599b8c
           3579 ┊      0.07% ┊                                               ⤷ core::option::Option<T>::and_then::h4c0807f0c5d789ee
           3315 ┊      0.07% ┊                                                   ⤷ reactive_graph::owner::context::use_context::{{closure}}::ha818e0b5d21def46
           3262 ┊      0.07% ┊                                                       ⤷ reactive_graph::owner::context::<impl reactive_graph::owner::Owner>::use_context::h7022f79adfc22ee2
            478 ┊      0.01% ┊                                                           ⤷ <dyn core::any::Any+core::marker::Sync+core::marker::Send>::downcast_ref::h7a271a9165a3ea73
            412 ┊      0.01% ┊                                                               ⤷ <dyn core::any::Any>::downcast_ref::h03c618c7b3f24bdb
            312 ┊      0.01% ┊                                                           ⤷ core::option::Option<&T>::cloned::hb90c39013f95961a
            112 ┊      0.00% ┊                                                               ⤷ <reactive_graph::signal::arc_read::ArcReadSignal<T> as core::clone::Clone>::clone::h9a34796fb9679420
            257 ┊      0.01% ┊                                                           ⤷ core::option::Option<T>::and_then::heba1669a1f44f8be
             78 ┊      0.00% ┊                                                               ⤷ reactive_graph::owner::context::<impl reactive_graph::owner::Owner>::use_context::{{closure}}::hfbb54b677b8f974b
            252 ┊      0.01% ┊                                                           ⤷ core::option::Option<T>::and_then::hb167384336b6ed5b
             57 ┊      0.00% ┊                                                               ⤷ reactive_graph::owner::context::<impl reactive_graph::owner::Owner>::use_context::{{closure}}::h2305d15e24fbbbaa
            252 ┊      0.01% ┊                                                           ⤷ core::option::Option<T>::and_then::heb19134764661b08
             57 ┊      0.00% ┊                                                               ⤷ reactive_graph::owner::context::<impl reactive_graph::owner::Owner>::use_context::{{closure}}::hf527f05a06a14418
            162 ┊      0.00% ┊                                                           ⤷ core::any::TypeId::of::h4855d5f33cc9299c
             85 ┊      0.00% ┊                                                           ⤷ core::ptr::drop_in_place<core::option::Option<reactive_graph::signal::arc_read::ArcReadSignal<routing::params::ParamsMap>>>::h9298d27664459b0e
            145 ┊      0.00% ┊                                           ⤷ core::option::Option<T>::expect::h903b254cf24ddbc1
           3848 ┊      0.08% ┊                                   ⤷ leptos::component::component_view::h668fef6c56d1218f
           3791 ┊      0.08% ┊                                       ⤷ <Func as leptos::component::ComponentConstructor<P,T>>::construct::h402ee0eb8202c7a9
           3659 ┊      0.07% ┊                                           ⤷ core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &F>::call_once::h0e8ed3720687cf56
           3527 ┊      0.07% ┊                                               ⤷ core::ops::function::Fn::call::h41f7ccf8105903b7
           3398 ┊      0.07% ┊                                                   ⤷ leptos::suspense_component::Suspense::h46feb5401f9d8167
           3202 ┊      0.07% ┊                                                       ⤷ reactive_graph::graph::subscriber::untrack::h025d4c0f40e23e34
           3114 ┊      0.06% ┊                                                           ⤷ leptos::suspense_component::Suspense::{{closure}}::h884519079c6d9dbf
           3066 ┊      0.06% ┊                                                               ⤷ leptos::suspense_component::__Suspense::hd41ff2991c38e721
           1687 ┊      0.03% ┊                                                                   ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new::h4e56a32fc9832295
           1591 ┊      0.03% ┊                                                                       ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::h9c091e1ec40b13f8
           1391 ┊      0.03% ┊                                                                           ⤷ alloc::sync::Arc<T>::new_cyclic::h0719e838908a0dea
            704 ┊      0.01% ┊                                                                               ⤷ reactive_graph::computed::arc_memo::ArcMemo<T>::new_with_compare::{{closure}}::h2791fa9df0c55e3b
            442 ┊      0.01% ┊                                                                                   ⤷ alloc::sync::Arc<T>::new::h3db591867ae42df2
            422 ┊      0.01% ┊                                                                   ⤷ <alloc::boxed::Box<F,A> as core::ops::function::FnOnce<Args>>::call_once::he856ccede5752713
            303 ┊      0.01% ┊                                                                       ⤷ <alloc::boxed::Box<T,A> as core::ops::drop::Drop>::drop::h7ecbaf8de4bfcd18
             50 ┊      0.00% ┊                                                                   ⤷ leptos::children::TypedChildren<T>::into_inner::hbc7fba08d12b8e45
